order_id,"Customer Name",Segment,Region,Category,Sub-Category,Sales,Quantity,Profit,Discount,profit_margin,order_date_clean,ship_date_clean,order_year,order_month
CA-2016-152156,"Claire Gute",Consumer,South,Furniture,Bookcases,261.96,2,41.9136,0,16.000000000000004,2016-08-11,2016-11-11,2016,8
CA-2016-152156,"Claire Gute",Consumer,South,Furniture,Chairs,731.94,3,219.582,0,30,2016-08-11,2016-11-11,2016,8
CA-2016-138688,"Darrin Van Huff",Corporate,West,"Office Supplies",Labels,14.62,2,6.8714,0,47,2016-12-06,2016-06-16,2016,12
US-2015-108966,"Sean O'Donnell",Consumer,South,Furniture,Tables,957.5775,5,-383.031,0.45,-40,2015-11-10,2015-10-18,2015,11
US-2015-108966,"Sean O'Donnell",Consumer,South,"Office Supplies",Storage,22.368,2,2.5164,0.2,11.25,2015-11-10,2015-10-18,2015,11
CA-2014-115812,"Brosina Hoffman",Consumer,West,Furniture,Furnishings,48.86,7,14.1694,0,28.999999999999996,2014-09-06,2014-06-14,2014,9
CA-2014-115812,"Brosina Hoffman",Consumer,West,"Office Supplies",Art,7.28,4,1.9656,0,27,2014-09-06,2014-06-14,2014,9
CA-2014-115812,"Brosina Hoffman",Consumer,West,Technology,Phones,907.152,6,90.7152,0.2,10,2014-09-06,2014-06-14,2014,9
CA-2014-115812,"Brosina Hoffman",Consumer,West,"Office Supplies",Binders,18.504,3,5.7825,0.2,31.249999999999993,2014-09-06,2014-06-14,2014,9
CA-2014-115812,"Brosina Hoffman",Consumer,West,"Office Supplies",Appliances,114.9,5,34.47,0,30,2014-09-06,2014-06-14,2014,9
CA-2014-115812,"Brosina Hoffman",Consumer,West,Furniture,Tables,1706.184,9,85.3092,0.2,5,2014-09-06,2014-06-14,2014,9
CA-2014-115812,"Brosina Hoffman",Consumer,West,Technology,Phones,911.424,4,68.3568,0.2,7.500000000000001,2014-09-06,2014-06-14,2014,9
CA-2017-114412,"Andrew Allen",Consumer,South,"Office Supplies",Paper,15.552,3,5.4432,0.2,35,2017-04-15,2017-04-20,2017,4
CA-2016-161389,"Irene Maddox",Consumer,West,"Office Supplies",Binders,407.976,3,132.5922,0.2,32.49999999999999,2016-05-12,2016-10-12,2016,5
